,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
63,Pirates of the Caribbean: On Stranger Tides,136 min,2011,20 May 2011,6.6,"448,184",32%,45,"$241,063,875"
64,X-Men: First Class,131 min,2011,03 Jun 2011,7.7,"608,415",86%,65,"$145,300,000"
65,The Girl with the Dragon Tattoo,158 min,2011,21 Dec 2011,7.8,"386,928",86%,71,"$102,515,793"
66,The Help,146 min,2011,10 Aug 2011,8.1,"393,043",76%,62,"$169,705,587"
67,In Time,109 min,2011,28 Oct 2011,6.7,"346,374",37%,53,"$35,900,000"
68,21 Jump Street,109 min,2012,16 Mar 2012,7.2,"478,143",84%,69,"$134,000,000"
69,The Amazing Spider-Man,136 min,2012,03 Jul 2012,7.0,"525,557",72%,66,"$262,030,663"
70,American Reunion,113 min,2012,06 Apr 2012,6.7,"192,233",45%,49,"$55,300,000"
71,The Avengers,143 min,2012,04 May 2012,8.1,"1,186,132",92%,69,"$623,279,547"
72,Battleship,131 min,2012,18 May 2012,5.8,"225,149",34%,41,"$65,173,160"
73,The Bourne Legacy,135 min,2012,10 Aug 2012,6.7,"268,282",56%,61,"$113,165,635"
74,Brave,93 min,2012,22 Jun 2012,7.1,"339,650",79%,69,"$237,282,182"
75,The Cabin in the Woods,95 min,2011,13 Apr 2012,7.0,"338,871",91%,72,"$42,043,633"
76,The Campaign,85 min,2012,10 Aug 2012,6.1,"118,500",66%,50,"$86,897,182"
77,Cloud Atlas,172 min,2012,26 Oct 2012,7.4,"326,779",67%,55,"$22,100,000"
78,The Dark Knight Rises,164 min,2012,20 Jul 2012,8.4,"1,389,960",87%,78,"$448,130,642"
79,Dark Shadows,113 min,2012,11 May 2012,6.2,"229,578",36%,55,"$79,711,678"
80,Django Unchained,165 min,2012,25 Dec 2012,8.4,"1,212,833",86%,81,"$162,804,648"
81,Dredd,95 min,2012,21 Sep 2012,7.1,"234,852",79%,60,"$13,401,683"
82,End of Watch,109 min,2012,21 Sep 2012,7.6,"211,029",85%,68,"$39,100,000"
83,The Expendables 2,103 min,2012,17 Aug 2012,6.6,"277,950",67%,51,"$85,017,401"
84,Flight,138 min,2012,02 Nov 2012,7.3,"302,904",78%,76,"$89,400,000"
85,The Guilt Trip,95 min,2012,19 Dec 2012,5.8,"33,669",37%,50,"$37,101,011"
86,Here Comes the Boom,105 min,2012,12 Oct 2012,6.4,"81,884",40%,40,"$45,274,251"
87,The Hobbit: An Unexpected Journey,169 min,2012,14 Dec 2012,7.9,"719,984",65%,58,"$303,001,229"
88,Hotel Transylvania,91 min,2012,28 Sep 2012,7.1,"204,212",44%,47,"$148,280,635"
89,Jack Reacher,130 min,2012,21 Dec 2012,7.0,"284,007",63%,50,"$80,033,643"
90,John Carter,132 min,2012,09 Mar 2012,6.6,"241,652",52%,51,"$73,058,679"
91,Killing Them Softly,97 min,2012,30 Nov 2012,6.2,"124,161",74%,64,"$14,900,000"
92,Lawless,116 min,2012,29 Aug 2012,7.3,"213,466",67%,58,"$36,300,000"
93,Life of Pi,127 min,2012,21 Nov 2012,7.9,"536,422",86%,79,"$103,500,000"
94,Looper,113 min,2012,28 Sep 2012,7.4,"499,881",93%,84,"$66,305,045"
95,Magic Mike,110 min,2012,29 Jun 2012,6.1,"124,099",80%,72,"$113,709,992"
96,Man on a Ledge,102 min,2012,27 Jan 2012,6.6,"137,348",32%,40,"$18,400,000"
97,The Man with the Iron Fists,95 min,2012,02 Nov 2012,5.4,"58,175",51%,51,"$15,608,545"
98,The Master,138 min,2012,21 Sep 2012,7.1,"131,521",84%,86,"$15,800,000"
99,Men in Black 3,106 min,2012,25 May 2012,6.8,"311,513",68%,58,"$179,020,854"
100,Parental Guidance,105 min,2012,25 Dec 2012,6.1,"23,709",17%,36,"$77,253,083"
101,Project X,88 min,2012,02 Mar 2012,6.7,"177,246",28%,48,"$53,400,000"
102,Prometheus,124 min,2012,08 Jun 2012,7.0,"538,002",73%,64,"$126,464,904"
103,Red Dawn,93 min,2012,21 Nov 2012,5.4,"69,685",13%,31,"$44,794,936"
104,Rise of the Guardians,97 min,2012,21 Nov 2012,7.3,"145,052",74%,57,"$98,800,000"
105,Savages,131 min,2012,06 Jul 2012,6.5,"115,648",51%,59,"$47,300,000"
106,Seven Psychopaths,110 min,2012,12 Oct 2012,7.2,"223,163",82%,66,"$15,000,000"
107,Sinister,110 min,2012,12 Oct 2012,6.8,"197,938",64%,53,"$48,100,000"
108,Skyfall,143 min,2012,09 Nov 2012,7.8,"592,569",92%,81,"$299,300,000"
109,Snow White and the Huntsman,127 min,2012,01 Jun 2012,6.1,"258,915",49%,57,"$155,081,785"
110,Taken 2,92 min,2012,05 Oct 2012,6.3,"273,019",22%,45,"$139,852,115"
111,Ted,106 min,2012,29 Jun 2012,6.9,"538,850",68%,62,"$218,100,000"
112,That's My Boy,116 min,2012,15 Jun 2012,5.6,"83,131",20%,31,"$36,900,000"
113,This Is 40,134 min,2012,21 Dec 2012,6.2,"118,929",52%,59,"$65,200,000"
114,Total Recall,118 min,2012,03 Aug 2012,6.3,"228,655",31%,43,"$58,877,969"
115,Promised Land,106 min,2012,04 Jan 2013,6.6,"34,605",52%,55,"$7,600,000"
116,Wreck-It Ralph,101 min,2012,02 Nov 2012,7.7,"345,007",87%,72,"$189,412,677"
117,Jack the Giant Slayer,114 min,2013,01 Mar 2013,6.3,"122,870",52%,51,"$65,171,860"
118,Oz the Great and Powerful,130 min,2013,08 Mar 2013,6.3,"192,159",59%,44,"$234,903,076"
119,A Good Day to Die Hard,98 min,2013,14 Feb 2013,5.3,"188,638",15%,28,"$67,344,392"
