,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
1185,Season of the Witch,95 min,2011,07 Jan 2011,5.4,"85,824",10%,28,"$24,800,000"
1186,Alvin and the Chipmunks: Chipwrecked,87 min,2011,16 Dec 2011,4.4,"28,082",11%,24,"$133,103,929"
1187,Apollo 18,86 min,2011,02 Sep 2011,5.2,"51,458",24%,24,"$17,500,000"
1188,Dolphin Tale,113 min,2011,23 Sep 2011,6.9,"20,725",81%,64,"$65,099,999"
1189,Straw Dogs,110 min,2011,16 Sep 2011,5.8,"30,717",41%,45,"$10,324,441"
1190,Big Miracle,107 min,2012,03 Feb 2012,6.5,"17,479",75%,61,"$20,113,965"
1191,Diary of a Wimpy Kid: Dog Days,94 min,2012,03 Aug 2012,6.3,"19,533",51%,54,"$49,002,815"
1192,Winter's Tale,118 min,2014,14 Feb 2014,6.2,"49,099",13%,31,"$10,628,616"
1193,Secret of the Wings,75 min,2012,14 Dec 2012,7.2,"9,691",60%,N/A,"$1,871,624"
1194,Excision,81 min,2012,02 Nov 2012,6.1,"18,867",83%,N/A,N/A
1195,Saints and Soldiers: Airborne Creed,94 min,2012,17 Aug 2012,5.7,"3,586",N/A,N/A,N/A
1196,Extracted,85 min,2012,09 Sep 2013,6.5,"10,969",N/A,N/A,N/A
1197,Passion,102 min,2012,30 Aug 2013,5.3,"20,197",33%,53,"$57,741"
1198,Cockneys vs Zombies,88 min,2012,02 Aug 2013,5.9,"17,417",76%,52,N/A
1199,Universal Soldier: Day of Reckoning,114 min,2012,25 Oct 2012,5.1,"18,127",56%,58,"$3,500"
1200,Stitches,86 min,2012,26 Oct 2012,5.7,"8,164",43%,N/A,N/A
1201,About Cherry,98 min,2012,09 Aug 2012,4.8,"9,184",14%,33,"$2,760"
1202,Chained,94 min,2012,18 Jul 2013,6.4,"15,003",72%,N/A,N/A
1203,The Brass Teapot,101 min,2012,15 Apr 2013,6.4,"13,724",32%,43,N/A
1204,Ginger & Rosa,90 min,2012,19 Oct 2012,6.3,"9,502",79%,69,"$1,005,700"
1205,A Fantastic Fear of Everything,100 min,2012,08 Jun 2012,5.9,"13,207",34%,31,N/A
1206,Branded,106 min,2012,07 Sep 2012,4.7,"8,466",9%,20,"$353,468"
1207,Salmon Fishing in the Yemen,107 min,2011,20 Apr 2012,6.8,"58,845",66%,58,"$4,700,000"
1208,Intruders,100 min,2011,07 Oct 2011,5.4,"19,311",32%,45,"$64,727"
1209,Day of the Falcon,130 min,2011,01 Feb 2013,6.7,"10,517",11%,32,N/A
1210,Attack the Block,88 min,2011,13 May 2011,6.7,"93,948",90%,75,"$800,000"
1211,The Beaver,91 min,2011,19 May 2011,6.7,"45,047",61%,60,"$900,000"
1212,The Guard,96 min,2011,07 Jul 2011,7.3,"75,094",94%,78,"$5,359,774"
1213,Atlas Shrugged: Part I,97 min,2011,15 Apr 2011,5.7,"12,545",12%,28,"$4,563,873"
1214,The Son of No One,90 min,2011,09 Jul 2011,5.1,"15,638",16%,36,"$28,870"
1215,Ironclad,121 min,2011,26 Jul 2011,6.2,"38,500",42%,42,N/A
1216,Room in Rome,107 min,2010,07 May 2010,6.2,"20,241",N/A,N/A,N/A
1217,The Ward,89 min,2010,08 Jul 2011,5.6,"38,245",33%,38,N/A
1218,6 Souls,112 min,2010,01 Mar 2013,6.1,"30,269",4%,28,N/A
1219,Buried,95 min,2010,15 Oct 2010,7.0,"138,708",86%,65,"$200,000"
1220,Hesher,106 min,2010,25 Jun 2011,7.0,"48,245",53%,45,"$300,000"
1221,Super,96 min,2010,10 Jun 2011,6.8,"70,678",49%,50,"$200,000"
1222,The Rebound,95 min,2009,16 Sep 2009,6.3,"44,160",41%,N/A,"$538,987"
1223,I Love You Phillip Morris,98 min,2009,07 Jan 2011,6.6,"87,381",71%,65,"$2,026,852"
1224,Dorian Gray,112 min,2009,09 Sep 2009,6.3,"57,926",45%,N/A,N/A
1225,Crossing Over,113 min,2009,26 Feb 2009,6.7,"21,831",16%,38,"$402,469"
1226,A Serious Man,106 min,2009,06 Nov 2009,7.1,"121,802",89%,79,"$9,190,525"
1227,A Single Man,99 min,2009,05 Feb 2010,7.6,"99,478",85%,77,"$9,098,668"
1228,The Loved Ones,84 min,2009,04 Nov 2010,6.7,"34,178",98%,N/A,N/A
1229,Tony,76 min,2009,01 Jan 2010,6.2,"2,996",76%,N/A,N/A
1230,The Fall,117 min,2006,30 May 2008,7.9,"101,766",61%,64,"$2,099,067"
1231,Death at a Funeral,90 min,2007,07 Sep 2007,7.4,"102,109",N/A,67,N/A
1232,Match Point,124 min,2005,20 Jan 2006,7.6,"191,095",76%,72,"$23,100,000"
1233,The Poughkeepsie Tapes,81 min,2007,30 Jan 2009,6.1,"12,504",N/A,N/A,N/A
1234,Rachel Getting Married,113 min,2008,07 Nov 2008,6.7,"44,927",84%,82,"$12,748,504"
1235,Lie with Me,93 min,2005,03 Mar 2006,5.4,"13,445",38%,N/A,N/A
1236,Wild Child,124 min,2008,15 Aug 2008,6.1,"45,316",41%,N/A,N/A
1237,Funny Games,111 min,2007,04 Apr 2008,6.5,"83,593",51%,44,"$1,045,279"
1238,This Is England,101 min,2006,27 Apr 2007,7.7,"109,794",93%,86,"$95,849"
1239,Once,86 min,2007,15 Jun 2007,7.9,"105,030",97%,88,"$9,199,193"
1240,21 Grams,124 min,2003,16 Jan 2004,7.7,"212,850",80%,70,"$16,162,920"
1241,Wet Hot American Summer,97 min,2001,11 Apr 2002,6.7,"49,772",36%,42,N/A
1242,Ghost World,111 min,2001,21 Sep 2001,7.4,"106,966",92%,88,"$4,694,484"
1243,Clerks,92 min,1994,09 Nov 1994,7.8,"201,579",88%,70,N/A
1244,Lolita,137 min,1997,25 Sep 1998,6.9,"46,478",68%,46,N/A
1245,Swingers,96 min,1996,11 Apr 1997,7.3,"71,041",87%,71,N/A
1246,Cube,90 min,1997,11 Jul 1998,7.2,"192,169",63%,61,N/A
1247,Brazil,132 min,1985,18 Dec 1985,8.0,"175,499",98%,88,N/A
1248,Blue Velvet,120 min,1986,23 Oct 1986,7.8,"162,094",94%,76,N/A
1249,The Blue Lagoon,104 min,1980,02 Jul 1980,5.7,"58,327",9%,31,N/A
1250,The Fox and the Hound,83 min,1981,10 Jul 1981,7.3,"76,940",70%,65,N/A
1251,The Lego Movie,100 min,2014,07 Feb 2014,7.8,"303,552",95%,83,"$244,870,202"
1252,Birdman or (The Unexpected Virtue of Ignorance),119 min,2014,14 Nov 2014,7.7,"518,587",91%,87,N/A
1253,The Grand Budapest Hotel,99 min,2014,28 Mar 2014,8.1,"634,540",91%,88,"$56,939,515"
1254,Dog Day Afternoon,125 min,1975,25 Dec 1975,8.0,"217,930",95%,86,N/A
1255,The Sting,129 min,1973,25 Dec 1973,8.3,"220,671",93%,80,N/A
1256,Mean Streets,112 min,1973,14 Oct 1973,7.3,"84,566",96%,96,N/A
1257,The Many Adventures of Winnie the Pooh,74 min,1977,11 Mar 1977,7.6,"29,635",100%,N/A,N/A
1258,Halloween,91 min,1978,27 Oct 1978,7.8,"205,900",95%,81,N/A
1259,Mad Max,88 min,1979,21 Mar 1980,6.9,"176,502",90%,73,N/A
1260,Annie,127 min,1982,18 Jun 1982,6.5,"36,593",54%,39,N/A
1261,The Road Warrior,94 min,1981,21 May 1982,7.6,"154,845",98%,77,N/A
1262,Rocky III,99 min,1982,28 May 1982,6.8,"156,073",66%,57,N/A
1263,Tootsie,116 min,1982,17 Dec 1982,7.4,"89,518",89%,88,N/A
1264,A Christmas Story,94 min,1983,18 Nov 1983,8.0,"122,001",89%,77,N/A
1265,Breakin',90 min,1984,04 May 1984,5.7,"5,331",43%,53,N/A
1266,Revenge of the Nerds,90 min,1984,10 Aug 1984,6.6,"45,535",70%,44,N/A
1267,The Fly,96 min,1986,15 Aug 1986,7.5,"145,034",92%,79,N/A
1268,Manhunter,120 min,1986,15 Aug 1986,7.2,"59,399",94%,75,N/A
1269,Angel Heart,113 min,1987,06 Mar 1987,7.3,"73,012",77%,61,N/A
1270,The Living Daylights,130 min,1987,31 Jul 1987,6.7,"80,835",71%,60,N/A
1271,The Secret of My Success,111 min,1987,10 Apr 1987,6.5,"26,783",57%,36,N/A
1272,The Abyss,145 min,1989,09 Aug 1989,7.6,"151,532",89%,62,N/A
1273,Ghostbusters II,108 min,1989,16 Jun 1989,6.5,"168,116",53%,56,N/A
1274,They Live,94 min,1988,04 Nov 1988,7.3,"96,097",85%,54,N/A
1275,Bill & Ted's Excellent Adventure,90 min,1989,17 Feb 1989,6.9,"100,288",78%,44,N/A
1276,Misery,107 min,1990,30 Nov 1990,7.8,"164,615",90%,75,N/A
1277,New Jack City,97 min,1991,08 Mar 1991,6.6,"28,747",77%,61,N/A
1278,Hot Shots!,84 min,1991,31 Jul 1991,6.7,"91,867",83%,61,N/A
1279,Home Alone 2: Lost in New York,120 min,1992,20 Nov 1992,6.7,"263,782",30%,N/A,N/A
1280,The Mighty Ducks,100 min,1992,02 Oct 1992,6.5,"53,153",23%,46,N/A
1281,White Men Can't Jump,115 min,1992,27 Mar 1992,6.7,"69,219",76%,65,N/A
1282,Falling Down,113 min,1993,26 Feb 1993,7.6,"155,941",73%,56,N/A
1283,Addams Family Values,94 min,1993,19 Nov 1993,6.7,"69,671",74%,62,N/A
1284,Hocus Pocus,96 min,1993,16 Jul 1993,6.8,"79,966",33%,N/A,N/A
1285,Robin Hood: Men in Tights,104 min,1993,28 Jul 1993,6.7,"106,532",42%,44,N/A
1286,Rookie of the Year,103 min,1993,07 Jul 1993,6.0,"22,220",35%,N/A,N/A
1287,Ace Ventura: When Nature Calls,90 min,1995,10 Nov 1995,6.4,"188,123",33%,45,N/A
1288,Babe,91 min,1995,04 Aug 1995,6.8,"109,319",97%,83,N/A
1289,Judge Dredd,96 min,1995,30 Jun 1995,5.5,"103,279",17%,N/A,N/A
1290,Major Payne,95 min,1995,24 Mar 1995,6.2,"28,129",33%,34,N/A
1291,Outbreak,127 min,1995,10 Mar 1995,6.6,"100,844",57%,65,N/A
1292,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89 min,1996,12 Jan 1996,6.6,"44,647",31%,N/A,N/A
1293,DragonHeart,103 min,1996,31 May 1996,6.5,"86,540",50%,N/A,N/A
1294,The Frighteners,110 min,1996,19 Jul 1996,7.1,"76,849",63%,52,N/A
1295,Sling Blade,135 min,1996,14 Mar 1997,8.0,"81,696",96%,84,N/A
1296,101 Dalmatians,103 min,1996,27 Nov 1996,5.7,"92,365",39%,49,N/A
1297,Dante's Peak,108 min,1997,07 Feb 1997,5.9,"73,841",24%,43,N/A
1298,Kiss the Girls,115 min,1997,03 Oct 1997,6.6,"59,168",29%,46,N/A
1299,Scream 2,120 min,1997,12 Dec 1997,6.2,"144,219",82%,63,N/A
1300,Can't Hardly Wait,100 min,1998,12 Jun 1998,6.5,"42,030",40%,52,N/A
1301,Lethal Weapon 4,127 min,1998,10 Jul 1998,6.6,"143,438",52%,37,N/A
1302,Beloved,172 min,1998,16 Oct 1998,5.9,"6,657",78%,57,N/A
1303,Ever After: A Cinderella Story,121 min,1998,31 Jul 1998,7.0,"64,928",91%,66,N/A
1304,Rushmore,93 min,1998,19 Feb 1999,7.7,"157,375",89%,86,N/A
1305,The Siege,116 min,1998,06 Nov 1998,6.3,"64,601",44%,53,N/A
1306,The 13th Warrior,102 min,1999,27 Aug 1999,6.6,"110,334",33%,42,N/A
1307,Blast from the Past,112 min,1999,12 Feb 1999,6.6,"55,731",57%,48,N/A
1308,Stuart Little,84 min,1999,17 Dec 1999,5.9,"114,825",67%,61,N/A
1309,Varsity Blues,106 min,1999,15 Jan 1999,6.5,"39,127",41%,50,N/A
1310,Scream 3,116 min,2000,04 Feb 2000,5.6,"114,146",37%,56,N/A
1311,Hollow Man,112 min,2000,04 Aug 2000,5.7,"114,699",28%,24,"$72,055,301"
1312,The Legend of Bagger Vance,126 min,2000,03 Nov 2000,6.7,"50,580",43%,47,"$30,366,277"
1313,The Perfect Storm,130 min,2000,30 Jun 2000,6.4,"147,209",N/A,59,N/A
1314,U-571,116 min,2000,21 Apr 2000,6.6,"72,626",68%,62,N/A
1315,What Women Want,127 min,2000,15 Dec 2000,6.4,"180,772",54%,47,"$181,483,882"
1316,From Hell,122 min,2001,19 Oct 2001,6.8,"139,608",57%,54,"$30,692,411"
1317,Joe Dirt,91 min,2001,11 Apr 2001,5.9,"47,771",11%,20,"$27,087,695"
1318,Serendipity,90 min,2001,05 Oct 2001,6.9,"98,119",59%,52,"$49,968,653"
1319,Spy Game,126 min,2001,21 Nov 2001,7.1,"135,520",66%,63,"$62,326,785"
1320,John Q,116 min,2002,15 Feb 2002,7.1,"115,443",23%,30,"$71,026,631"
1321,Reign of Fire,101 min,2002,12 Jul 2002,6.2,"119,686",42%,39,"$42,929,971"
1322,The Scorpion King,92 min,2002,19 Apr 2002,5.5,"122,691",41%,45,"$90,341,670"
1323,The Time Machine,96 min,2002,08 Mar 2002,5.9,"113,181",29%,42,"$56,684,819"
1324,Charlie's Angels: Full Throttle,106 min,2003,27 Jun 2003,4.9,"112,057",42%,48,"$100,685,880"
1325,Freddy vs. Jason,97 min,2003,15 Aug 2003,5.8,"103,174",41%,37,"$82,200,000"
1326,Secondhand Lions,109 min,2003,19 Sep 2003,7.6,"48,550",60%,52,"$41,407,470"
1327,Under the Tuscan Sun,113 min,2003,26 Sep 2003,6.8,"43,239",61%,52,"$43,452,354"
1328,Mona Lisa Smile,117 min,2003,19 Dec 2003,6.5,"71,992",34%,45,"$63,695,760"
1329,Timeline,116 min,2003,26 Nov 2003,5.6,"57,463",11%,28,"$19,375,474"
1330,Confessions of a Teenage Drama Queen,89 min,2004,20 Feb 2004,4.6,"25,902",14%,33,"$29,227,473"
1331,The Life Aquatic with Steve Zissou,119 min,2004,25 Dec 2004,7.3,"166,276",73%,62,N/A
1332,The Manchurian Candidate,129 min,2004,30 Jul 2004,6.6,"97,383",80%,76,"$65,700,000"
1333,Raising Helen,119 min,2004,28 May 2004,6.0,"33,949",25%,38,"$37,379,556"
1334,Spanglish,131 min,2004,17 Dec 2004,6.4,"73,911",53%,48,"$42,044,321"
1335,Kung Fu Hustle,99 min,2004,22 Apr 2005,7.8,"117,026",90%,78,"$17,025,579"
1336,Æon Flux,93 min,2005,02 Dec 2005,5.5,"119,367",9%,36,"$25,857,987"
1337,The Brothers Grimm,118 min,2005,26 Aug 2005,5.9,"110,464",38%,51,N/A
1338,The Constant Gardener,129 min,2005,31 Aug 2005,7.4,"125,035",83%,82,"$33,565,375"
1339,Derailed,108 min,2005,11 Nov 2005,6.6,"68,009",21%,40,"$35,945,749"
1340,Doom,105 min,2005,21 Oct 2005,5.2,"99,781",19%,34,"$28,031,250"
1341,The Exorcism of Emily Rose,119 min,2005,09 Sep 2005,6.7,"110,589",20%,46,N/A
1342,Red Eye,85 min,2005,19 Aug 2005,6.5,"105,278",79%,71,"$57,859,105"
1343,Rent,135 min,2005,23 Nov 2005,7.0,"46,588",46%,53,"$29,077,547"
1344,Rumor Has It...,97 min,2005,25 Dec 2005,5.5,"48,590",20%,35,"$42,900,000"
1345,The Skeleton Key,104 min,2005,12 Aug 2005,6.5,"99,795",37%,47,"$47,729,605"
1346,Sky High,100 min,2005,29 Jul 2005,6.2,"72,339",74%,62,"$63,939,454"
1347,Zathura: A Space Adventure,101 min,2005,11 Nov 2005,6.2,"83,978",75%,67,"$28,045,540"
1348,Big Momma's House 2,99 min,2006,27 Jan 2006,4.7,"37,840",6%,34,"$70,121,252"
1349,The Black Dahlia,121 min,2006,15 Sep 2006,5.6,"68,367",33%,49,"$22,518,325"
1350,The Break-Up,106 min,2006,02 Jun 2006,5.8,"117,259",34%,45,"$118,683,135"
1351,Clerks II,97 min,2006,21 Jul 2006,7.4,"124,677",63%,65,"$23,951,963"
1352,Final Destination 3,93 min,2006,10 Feb 2006,5.8,"120,479",43%,41,"$54,100,000"
1353,Just My Luck,103 min,2006,12 May 2006,5.4,"50,852",14%,29,"$17,229,124"
1354,The Lake House,99 min,2006,16 Jun 2006,6.8,"130,048",36%,52,"$52,300,000"
1355,Nanny McPhee,97 min,2005,27 Jan 2006,6.6,"61,649",73%,59,"$47,124,400"
1356,Open Season,86 min,2006,29 Sep 2006,6.1,"78,535",48%,49,"$84,300,000"
1357,Running Scared,122 min,2006,24 Feb 2006,7.4,"94,093",41%,41,"$6,651,790"
1358,Saw III,108 min,2006,27 Oct 2006,6.2,"166,143",28%,48,"$80,200,000"
1359,Slither,95 min,2006,31 Mar 2006,6.5,"69,756",86%,69,"$7,774,730"
1360,Tenacious D in The Pick of Destiny,93 min,2006,22 Nov 2006,6.8,"96,792",53%,55,"$8,199,999"
1361,Charlotte's Web,97 min,2006,15 Dec 2006,6.3,"33,633",79%,68,"$82,100,000"
1362,A Good Year,117 min,2006,10 Nov 2006,7.0,"82,062",25%,47,"$7,365,004"
1363,Aliens vs. Predator: Requiem,94 min,2007,25 Dec 2007,4.7,"109,132",11%,29,"$41,668,854"
1364,Black Snake Moan,116 min,2006,02 Mar 2007,7.0,"58,193",66%,52,"$9,262,318"
1365,The Brave One,122 min,2007,14 Sep 2007,6.8,"55,464",43%,56,"$36,800,000"
1366,Dan in Real Life,98 min,2007,26 Oct 2007,6.8,"93,732",64%,65,"$30,025,543"
1367,The Darjeeling Limited,91 min,2007,26 Oct 2007,7.2,"164,665",69%,67,"$11,900,000"
1368,The Game Plan,110 min,2007,28 Sep 2007,6.2,"53,387",29%,44,"$90,547,946"
1369,The Heartbreak Kid,116 min,2007,05 Oct 2007,5.8,"80,316",29%,46,"$36,771,343"
1370,I Now Pronounce You Chuck & Larry,115 min,2007,20 Jul 2007,6.0,"133,310",14%,37,"$119,700,000"
1371,License to Wed,91 min,2007,03 Jul 2007,5.3,"36,178",7%,25,"$43,800,000"
1372,Norbit,102 min,2007,09 Feb 2007,4.0,"63,029",9%,27,"$95,323,496"
1373,Sydney White,108 min,2007,21 Sep 2007,6.3,"43,529",36%,45,"$11,702,090"
1374,We Own the Night,117 min,2007,12 Oct 2007,6.9,"79,676",57%,59,"$27,600,000"
1375,Wild Hogs,100 min,2007,02 Mar 2007,5.9,"109,109",14%,27,"$168,213,584"
1376,The Orphanage,105 min,2007,11 Jan 2008,7.5,"137,464",87%,74,"$6,905,218"
1377,Semi-Pro,91 min,2008,29 Feb 2008,5.8,"74,565",23%,47,"$33,370,443"
1378,Untraceable,101 min,2008,25 Jan 2008,6.2,"45,271",16%,32,"$28,687,835"
1379,Blindness,121 min,2008,03 Oct 2008,6.6,"66,045",44%,45,"$3,073,392"
1380,City of Ember,90 min,2008,10 Oct 2008,6.5,"59,535",53%,58,"$7,800,000"
1381,Doubt,104 min,2008,25 Dec 2008,7.5,"113,364",80%,68,"$33,422,556"
1382,Mirrors,110 min,2008,15 Aug 2008,6.2,"97,128",15%,35,"$30,575,158"
1383,Punisher: War Zone,103 min,2008,05 Dec 2008,6.0,"57,208",29%,30,"$7,948,159"
1384,Saw V,92 min,2008,24 Oct 2008,5.8,"106,834",13%,20,"$56,729,973"
1385,The Sisterhood of the Traveling Pants 2,119 min,2008,06 Aug 2008,6.2,"25,499",65%,63,"$44,029,972"
1386,Speed Racer,135 min,2008,09 May 2008,6.0,"65,133",40%,37,"$43,929,341"
1387,The Spirit,103 min,2008,25 Dec 2008,4.8,"57,700",14%,30,"$19,781,879"
1388,Traitor,114 min,2008,27 Aug 2008,7.0,"53,070",65%,60,"$23,501,463"
1389,12 Rounds,108 min,2009,27 Mar 2009,5.6,"25,908",30%,38,"$12,200,000"
1390,Brüno,81 min,2009,10 Jul 2009,5.8,"133,925",67%,54,"$59,992,760"
1391,Dragonball Evolution,85 min,2009,10 Apr 2009,2.6,"66,006",15%,45,"$9,353,573"
1392,The Final Destination,82 min,2009,28 Aug 2009,5.2,"89,298",28%,30,"$66,436,248"
1393,Fired Up!,90 min,2009,20 Feb 2009,6.2,"40,651",25%,31,"$16,755,117"
1394,"The Goods: Live Hard, Sell Hard",89 min,2009,14 Aug 2009,5.8,"19,477",27%,39,"$15,000,327"
1395,"I Love You, Beth Cooper",102 min,2009,10 Jul 2009,5.3,"31,794",13%,32,"$14,800,000"
1396,My Bloody Valentine,101 min,2009,16 Jan 2009,5.5,"50,823",60%,51,"$51,527,787"
1397,Ponyo,101 min,2008,14 Aug 2009,7.7,"106,927",92%,86,"$15,100,000"
1398,The Box,115 min,2009,06 Nov 2009,5.6,"85,269",44%,47,"$114,882,598"
1399,A Christmas Carol,96 min,2009,06 Nov 2009,6.8,"91,889",54%,55,"$137,816,456"
1400,Nine,118 min,2009,25 Dec 2009,5.8,"40,760",40%,49,"$19,628,665"
1401,Planet 51,91 min,2009,20 Nov 2009,6.1,"47,410",22%,39,"$42,194,060"
1402,Whip It,111 min,2009,02 Oct 2009,6.9,"61,238",84%,68,"$13,000,000"
1403,Country Strong,117 min,2010,07 Jan 2011,6.3,"16,265",22%,45,"$20,218,921"
1404,Death at a Funeral,92 min,2010,16 Apr 2010,5.7,"41,834",42%,51,"$16,000,000"
1405,Jonah Hex,81 min,2010,18 Jun 2010,4.7,"51,925",12%,33,"$10,500,000"
1406,Saw 3D: The Final Chapter,90 min,2010,29 Oct 2010,5.6,"83,590",9%,24,"$45,670,855"
1407,Yogi Bear,80 min,2010,17 Dec 2010,4.6,"18,967",13%,35,"$100,169,068"
1408,Don't Be Afraid of the Dark,99 min,2010,26 Aug 2011,5.6,"44,473",59%,56,"$23,900,000"
1409,Mars Needs Moms,88 min,2011,11 Mar 2011,5.4,"19,841",37%,49,"$21,379,315"
1410,Sound City,107 min,2013,18 Jan 2013,7.8,"11,438",98%,76,"$419,361"
1411,The Secret Life of Walter Mitty,114 min,2013,25 Dec 2013,7.3,"275,214",51%,54,"$33,223,430"
1412,Paranoia,106 min,2013,16 Aug 2013,5.7,"33,167",7%,32,"$5,334,926"
1413,The Babymakers,95 min,2012,24 Aug 2012,5.0,"8,147",8%,30,"$5,215"
1414,Citadel,84 min,2012,01 Mar 2013,5.5,"6,349",55%,60,"$10,080"
1415,Celebrity Sex Tape,87 min,2012,02 Feb 2012,2.9,"2,539",N/A,N/A,N/A
1416,Mental,116 min,2012,29 Mar 2013,6.2,"4,661",42%,42,"$2,202,208"
1417,Bad Ass,90 min,2012,13 Apr 2012,5.5,"17,702",20%,N/A,N/A
1418,Freelancers,96 min,2012,12 Jan 2013,4.6,"9,021",N/A,N/A,N/A
1419,The Comedy,95 min,2012,21 Jan 2012,6.4,"4,231",45%,46,N/A
1420,6 Bullets,115 min,2012,17 Nov 2012,6.1,"13,158",N/A,N/A,N/A
1421,Hysteria,100 min,2011,14 Dec 2011,6.7,"29,027",59%,53,"$1,700,000"
1422,Your Sister's Sister,90 min,2011,29 Jun 2012,6.7,"24,722",83%,72,"$1,041,358"
1423,Win Win,106 min,2011,15 Apr 2011,7.2,"51,532",94%,75,"$10,100,000"
1424,Inbred,90 min,2011,21 Sep 2012,5.2,"4,340",18%,N/A,N/A
1425,Martha Marcy May Marlene,102 min,2011,21 Dec 2011,6.9,"45,455",90%,75,"$2,981,038"
1426,A Little Bit of Heaven,106 min,2011,04 May 2012,6.3,"26,428",4%,14,"$453,167"
1427,The Experiment,96 min,2010,12 Aug 2010,6.5,"48,234",N/A,N/A,N/A
1428,Stake Land,98 min,2010,17 Jun 2011,6.5,"38,770",74%,66,"$18,469"
1429,Trust,106 min,2010,28 Apr 2011,6.9,"39,324",78%,60,"$117,623"
1430,Stone,105 min,2010,22 Oct 2010,5.4,"38,646",49%,58,"$1,796,024"
1431,Submarine,97 min,2010,18 Mar 2011,7.3,"79,913",88%,76,"$400,000"
1432,Solomon Kane,104 min,2009,24 Aug 2012,6.1,"65,830",66%,48,N/A
1433,Triangle,99 min,2009,16 Oct 2009,6.9,"90,138",80%,N/A,N/A
1434,Fish Tank,123 min,2009,11 Sep 2009,7.3,"54,779",91%,81,"$187,074"
1435,Harry Brown,103 min,2009,14 May 2010,7.2,"80,795",63%,55,"$1,818,681"
1436,Revolver,111 min,2005,22 Sep 2005,6.5,"84,195",16%,25,"$41,820"
1437,Brick,110 min,2005,14 Apr 2006,7.4,"94,659",79%,72,"$1,973,180"
1438,"New York, I Love You",103 min,2008,16 Oct 2009,6.3,"43,012",37%,49,"$1,600,000"
1439,The Informers,98 min,2008,24 Apr 2009,5.0,"15,396",12%,20,N/A
1440,9 Songs,71 min,2004,11 Mar 2005,4.8,"20,260",24%,43,N/A
1441,Felon,104 min,2008,17 Jul 2008,7.5,"72,340",61%,58,N/A
1442,Session 9,97 min,2001,14 Sep 2001,6.5,"49,590",63%,58,N/A
1443,Boys Don't Cry,118 min,1999,31 Mar 2000,7.6,"86,847",88%,86,N/A
1444,Full Frontal,101 min,2002,02 Aug 2002,4.7,"9,201",39%,45,N/A
1445,The Room,99 min,2003,03 Mar 2004,3.7,"72,303",26%,9,N/A
1446,Four Rooms,98 min,1995,25 Dec 1995,6.8,"90,511",14%,N/A,N/A
1447,Following,69 min,1998,05 Nov 1999,7.6,"77,869",80%,60,N/A
1448,"Blood In, Blood Out",180 min,1993,30 Apr 1993,8.0,"26,505",55%,N/A,N/A
1449,Repo Man,92 min,1984,02 Mar 1984,6.9,"30,625",98%,75,N/A
1450,Street Smart,97 min,1987,20 Mar 1987,6.4,"2,334",69%,70,N/A
1451,Valley Girl,99 min,1983,29 Apr 1983,6.4,"11,889",N/A,66,N/A
1452,Sabotage,109 min,2014,28 Mar 2014,5.7,"55,524",20%,41,"$8,125,131"
1453,Veronica Mars,107 min,2014,13 Mar 2014,6.8,"46,866",79%,62,"$2,664,765"
1454,Flash Gordon,111 min,1980,05 Dec 1980,6.5,"45,890",82%,58,N/A
1455,Rocky II,119 min,1979,15 Jun 1979,7.2,"173,525",72%,61,N/A
1456,Manhattan,96 min,1979,25 Apr 1979,8.0,"121,535",95%,83,N/A
1457,Never Say Never Again,134 min,1983,07 Oct 1983,6.2,"56,166",66%,68,N/A
1458,Private School,89 min,1983,29 Jul 1983,5.2,"5,205",N/A,25,N/A
1459,The Last Starfighter,101 min,1984,13 Jul 1984,6.7,"35,166",77%,67,N/A
1460,Star Trek III: The Search for Spock,105 min,1984,01 Jun 1984,6.7,"68,894",80%,56,N/A
1461,Stalker,162 min,1979,17 Apr 1980,8.1,"97,576",100%,N/A,"$268,101"
1462,Pee-wee's Big Adventure,91 min,1985,09 Aug 1985,7.0,"46,360",87%,47,N/A
1463,St. Elmo's Fire,110 min,1985,28 Jun 1985,6.4,"32,653",44%,35,N/A
1464,Silverado,133 min,1985,10 Jul 1985,7.2,"33,847",77%,64,"$33,200,000"
1465,Crocodile Dundee,97 min,1986,26 Sep 1986,6.6,"85,559",87%,62,N/A
1466,Short Circuit,98 min,1986,09 May 1986,6.6,"51,860",58%,50,N/A
1467,Some Kind of Wonderful,95 min,1987,27 Feb 1987,7.1,"24,425",81%,55,N/A
1468,"Honey, I Shrunk the Kids",93 min,1989,23 Jun 1989,6.3,"129,680",75%,63,N/A
1469,The Naked Gun: From the Files of Police Squad!,85 min,1988,02 Dec 1988,7.6,"136,638",87%,76,N/A
1470,Young Guns,107 min,1988,12 Aug 1988,6.9,"50,312",41%,50,N/A
1471,Cry-Baby,85 min,1990,06 Apr 1990,6.5,"50,694",72%,N/A,N/A
1472,Predator 2,108 min,1990,21 Nov 1990,6.3,"133,499",26%,46,N/A
1473,Thelma & Louise,130 min,1991,24 May 1991,7.4,"121,825",84%,88,N/A
1474,Fried Green Tomatoes,130 min,1991,24 Jan 1992,7.7,"60,734",74%,64,N/A
1475,The Bodyguard,129 min,1992,25 Nov 1992,6.2,"107,950",34%,39,N/A
